'Elapsed time','V1'
0.844,-0.305
0.847,-0.315
0.850,-0.320
0.853,-0.320
0.856,-0.320
0.858,-0.305
0.861,-0.300
0.864,-0.290
0.867,-0.290
0.869,-0.285
0.872,-0.295
0.875,-0.295
0.878,-0.310
0.881,-0.310
0.883,-0.320
0.886,-0.310
0.889,-0.295
0.892,-0.300
0.894,-0.285
0.897,-0.280
0.900,-0.270
0.903,-0.275
0.906,-0.280
0.908,-0.280
0.911,-0.290
0.914,-0.295
0.917,-0.300
0.919,-0.295
0.922,-0.295
0.925,-0.285
0.928,-0.280
0.931,-0.280
0.933,-0.275
0.936,-0.265
0.939,-0.265
0.942,-0.275
0.944,-0.290
0.947,-0.290
0.950,-0.300
0.953,-0.290
0.956,-0.285
0.958,-0.275
0.961,-0.275
0.964,-0.270
0.967,-0.265
0.969,-0.260
0.972,-0.270
0.975,-0.280
0.978,-0.295
0.981,-0.295
0.983,-0.300
0.986,-0.290
0.989,-0.280
0.992,-0.280
0.994,-0.270
0.997,-0.270
1.000,-0.245
1.003,-0.260
1.006,-0.270
1.008,-0.280
1.011,-0.290
1.014,-0.295
1.017,-0.295
1.019,-0.290
1.022,-0.300
1.025,-0.295
1.028,-0.290
1.031,-0.285
1.033,-0.255
1.036,-0.275
1.039,-0.285
1.042,-0.290
1.044,-0.295
1.047,-0.300
1.050,-0.315
1.053,-0.315
1.056,-0.305
1.058,-0.295
1.061,-0.290
1.064,-0.290
1.067,-0.270
1.069,-0.285
1.072,-0.290
1.075,-0.285
1.078,-0.295
1.081,-0.310
1.083,-0.305
1.086,-0.310
1.089,-0.305
1.092,-0.290
1.094,-0.290
1.097,-0.275
1.100,-0.275
1.103,-0.280
1.106,-0.290
1.108,-0.295
1.111,-0.300
1.114,-0.310
1.117,-0.305
1.119,-0.310
1.122,-0.310
1.125,-0.305
1.128,-0.285
1.131,-0.290
1.133,-0.270
1.136,-0.280
1.139,-0.280
1.142,-0.300
1.144,-0.290
1.147,-0.300
1.150,-0.305
1.153,-0.300
1.156,-0.300
1.158,-0.305
1.161,-0.290
1.164,-0.280
1.167,-0.275
1.169,-0.285
1.172,-0.285
1.175,-0.285
1.178,-0.295
1.181,-0.305
1.183,-0.305
1.186,-0.305
1.189,-0.310
1.192,-0.290
1.194,-0.290
1.197,-0.285
1.200,-0.270
1.203,-0.270
1.206,-0.280
1.208,-0.280
1.211,-0.280
1.214,-0.275
1.217,-0.275
1.219,-0.265
1.222,-0.260
1.225,-0.240
1.228,-0.225
1.231,-0.225
1.233,-0.200
1.236,-0.205
1.239,-0.220
1.242,-0.240
1.244,-0.240
1.247,-0.270
1.250,-0.280
1.253,-0.305
1.256,-0.305
1.258,-0.295
1.261,-0.280
1.264,-0.270
1.267,-0.260
1.269,-0.270
1.272,-0.275
1.275,-0.280
1.278,-0.270
1.281,-0.290
1.283,-0.290
1.286,-0.290
1.289,-0.285
1.292,-0.290
1.294,-0.280
1.297,-0.285
1.300,-0.270
1.303,-0.280
1.306,-0.295
1.308,-0.300
1.311,-0.300
1.314,-0.305
1.317,-0.310
1.319,-0.310
1.322,-0.305
1.325,-0.300
1.328,-0.290
1.331,-0.300
1.333,-0.275
1.336,-0.285
1.339,-0.295
1.342,-0.300
1.344,-0.295
1.347,-0.300
1.350,-0.305
1.353,-0.315
1.356,-0.310
1.358,-0.305
1.361,-0.305
1.364,-0.285
1.367,-0.275
1.369,-0.275
1.372,-0.295
1.375,-0.290
1.378,-0.295
1.381,-0.300
1.383,-0.305
1.386,-0.305
1.389,-0.280
1.392,-0.270
1.394,-0.250
1.397,-0.230
1.400,-0.230
1.403,-0.240
1.406,-0.265
1.408,-0.310
1.411,-0.360
1.414,-0.435
1.417,-0.515
1.419,-0.595
1.422,-0.660
1.425,-0.705
1.428,-0.730
1.431,-0.705
1.433,-0.650
1.436,-0.580
1.439,-0.490
1.442,-0.400
1.444,-0.330
1.447,-0.285
1.450,-0.285
1.453,-0.295
1.456,-0.315
1.458,-0.335
1.461,-0.350
1.464,-0.330
1.467,-0.305
1.469,-0.265
1.472,-0.240
1.475,-0.210
1.478,-0.230
1.481,-0.225
1.483,-0.245
1.486,-0.250
1.489,-0.245
1.492,-0.255
1.494,-0.240
1.497,-0.240
1.500,-0.230
1.503,-0.225
1.506,-0.235
1.508,-0.235
1.511,-0.245
1.514,-0.255
1.517,-0.265
1.519,-0.260
1.522,-0.255
1.525,-0.245
1.528,-0.245
1.531,-0.245
1.533,-0.220
1.536,-0.225
1.539,-0.225
1.542,-0.240
1.544,-0.255
1.547,-0.255
1.550,-0.265
1.553,-0.270
1.556,-0.260
1.558,-0.250
1.561,-0.250
1.564,-0.235
1.567,-0.235
1.569,-0.245
1.572,-0.250
1.575,-0.255
1.578,-0.255
1.581,-0.265
1.583,-0.270
1.586,-0.265
1.589,-0.260
1.592,-0.260
1.594,-0.245
1.597,-0.250
1.600,-0.240
1.603,-0.245
1.606,-0.255
1.608,-0.245
1.611,-0.250
1.614,-0.265
1.617,-0.270
1.619,-0.265
1.622,-0.270
1.625,-0.260
1.628,-0.260
1.631,-0.245
1.633,-0.255
1.636,-0.250
1.639,-0.250
1.642,-0.260
1.644,-0.270
1.647,-0.275
1.650,-0.275
1.653,-0.280
1.656,-0.270
1.658,-0.270
1.661,-0.260
1.664,-0.260
1.667,-0.255
1.669,-0.250
1.672,-0.265
1.675,-0.270
1.678,-0.270
1.681,-0.275
1.683,-0.285
1.686,-0.295
1.689,-0.290
1.692,-0.285
1.694,-0.275
1.697,-0.270
1.700,-0.260
1.703,-0.260
1.706,-0.275
1.708,-0.275
1.711,-0.280
1.714,-0.295
1.717,-0.285
1.719,-0.295
1.722,-0.290
1.725,-0.290
1.728,-0.280
1.731,-0.275
1.733,-0.270
1.736,-0.270
1.739,-0.290
1.742,-0.280
1.744,-0.300
1.747,-0.305
1.750,-0.310
1.753,-0.310
1.756,-0.310
1.758,-0.305
1.761,-0.295
1.764,-0.290
1.767,-0.280
1.769,-0.285
1.772,-0.295
1.775,-0.290
1.778,-0.300
1.781,-0.290
1.783,-0.315
1.786,-0.310
1.789,-0.305
1.792,-0.290
1.794,-0.290
1.797,-0.285
1.800,-0.280
1.803,-0.270
1.806,-0.285
1.808,-0.280
1.811,-0.295
1.814,-0.285
1.817,-0.300
1.819,-0.280
1.822,-0.275
1.825,-0.275
1.828,-0.260
1.831,-0.265
1.833,-0.255
1.836,-0.245
1.839,-0.245
1.842,-0.250
1.844,-0.245
1.847,-0.265
1.850,-0.265
1.853,-0.265
1.856,-0.255
1.858,-0.250
1.861,-0.235
1.864,-0.245
1.867,-0.240
1.869,-0.225
1.872,-0.240
1.875,-0.245
1.878,-0.245
1.881,-0.255
1.883,-0.260
1.886,-0.260
1.889,-0.255
1.892,-0.245
1.894,-0.240
1.897,-0.240
1.900,-0.225
1.903,-0.225
1.906,-0.240
1.908,-0.245
1.911,-0.255
1.914,-0.250
1.917,-0.260
1.919,-0.260
1.922,-0.255
1.925,-0.245
1.928,-0.250
1.931,-0.240
1.933,-0.245
1.936,-0.235
1.939,-0.255
1.942,-0.250
1.944,-0.255
1.947,-0.270
1.950,-0.270
1.953,-0.270
1.956,-0.270
1.958,-0.250
1.961,-0.255
1.964,-0.240
1.967,-0.240
1.969,-0.240
1.972,-0.250
1.975,-0.260
1.978,-0.265
1.981,-0.265
1.983,-0.270
1.986,-0.280
1.989,-0.280
1.992,-0.260
1.994,-0.265
1.997,-0.260
2.000,-0.260
2.003,-0.250
2.006,-0.255
2.008,-0.260
2.011,-0.265
2.014,-0.275
2.017,-0.275
2.019,-0.285
2.022,-0.275
2.025,-0.275
2.028,-0.260
2.031,-0.260
2.033,-0.260
2.036,-0.260
2.039,-0.250
2.042,-0.255
2.044,-0.270
2.047,-0.270
2.050,-0.280
2.053,-0.285
2.056,-0.285
2.058,-0.275
2.061,-0.275
2.064,-0.260
2.067,-0.255
2.069,-0.255
2.072,-0.260
2.075,-0.260
2.078,-0.265
2.081,-0.285
2.083,-0.285
2.086,-0.280
2.089,-0.280
2.092,-0.280
2.094,-0.275
2.097,-0.255
2.100,-0.265
2.103,-0.260
2.106,-0.275
2.108,-0.280
2.111,-0.275
2.114,-0.285
2.117,-0.280
2.119,-0.265
2.122,-0.250
2.125,-0.250
2.128,-0.235
2.131,-0.225
2.133,-0.210
2.136,-0.200
2.139,-0.200
2.142,-0.215
2.144,-0.225
2.147,-0.240
2.150,-0.255
2.153,-0.260
2.156,-0.275
2.158,-0.285
2.161,-0.275
2.164,-0.265
2.167,-0.270
2.169,-0.245
2.172,-0.250
2.175,-0.255
2.178,-0.250
2.181,-0.270
2.183,-0.280
2.186,-0.275
2.189,-0.270
2.192,-0.265
2.194,-0.260
2.197,-0.250
2.200,-0.260
2.203,-0.260
2.206,-0.275
2.208,-0.280
2.211,-0.300
2.214,-0.310
2.217,-0.310
2.219,-0.310
2.222,-0.310
2.225,-0.305
2.228,-0.290
2.231,-0.300
2.233,-0.290
2.236,-0.295
2.239,-0.295
2.242,-0.305
2.244,-0.305
2.247,-0.320
2.250,-0.325
2.253,-0.325
2.256,-0.325
2.258,-0.310
2.261,-0.305
2.264,-0.295
2.267,-0.295
2.269,-0.280
2.272,-0.290
2.275,-0.300
2.278,-0.305
2.281,-0.310
2.283,-0.320
2.286,-0.315
2.289,-0.320
2.292,-0.310
2.294,-0.295
2.297,-0.300
2.300,-0.290
2.303,-0.295
2.306,-0.295
2.308,-0.295
2.311,-0.305
2.314,-0.295
2.317,-0.290
2.319,-0.280
2.322,-0.270
2.325,-0.280
2.328,-0.305
2.331,-0.335
2.333,-0.390
2.336,-0.465
2.339,-0.550
2.342,-0.645
2.344,-0.715
2.347,-0.760
2.350,-0.775
2.353,-0.755
2.356,-0.685
2.358,-0.610
2.361,-0.515
2.364,-0.440
2.367,-0.370
2.369,-0.315
2.372,-0.295
2.375,-0.315
2.378,-0.325
2.381,-0.355
2.383,-0.385
2.386,-0.385
2.389,-0.385
2.392,-0.350
2.394,-0.315
2.397,-0.275
2.400,-0.230
2.403,-0.225
2.406,-0.240
2.408,-0.255
2.411,-0.260
2.414,-0.265
2.417,-0.265
2.419,-0.275
2.422,-0.270
2.425,-0.265
2.428,-0.260
2.431,-0.255
2.433,-0.260
2.436,-0.235
2.439,-0.255
2.442,-0.260
2.444,-0.255
2.447,-0.275
2.450,-0.285
2.453,-0.275
2.456,-0.275
2.458,-0.265
2.461,-0.250
2.464,-0.255
2.467,-0.250
2.469,-0.250
2.472,-0.255
2.475,-0.265
2.478,-0.275
2.481,-0.285
2.483,-0.285
2.486,-0.290
2.489,-0.285
2.492,-0.270
2.494,-0.280
2.497,-0.275
2.500,-0.265
2.503,-0.260
2.506,-0.265
2.508,-0.275
2.511,-0.285
2.514,-0.280
2.517,-0.295
2.519,-0.300
2.522,-0.290
2.525,-0.290
2.528,-0.275
2.531,-0.280
2.533,-0.270
2.536,-0.275
2.539,-0.285
2.542,-0.290
2.544,-0.285
2.547,-0.285
2.550,-0.290
2.553,-0.305
2.556,-0.305
2.558,-0.295
2.561,-0.280
2.564,-0.290
2.567,-0.285
2.569,-0.265
2.572,-0.265
2.575,-0.275
2.578,-0.290
2.581,-0.290
2.583,-0.300
2.586,-0.300
2.589,-0.295
2.592,-0.300
2.594,-0.280
2.597,-0.275
2.600,-0.275
2.603,-0.265
2.606,-0.270
2.608,-0.285
2.611,-0.300
2.614,-0.300
2.617,-0.300
2.619,-0.320
2.622,-0.310
2.625,-0.295
2.628,-0.295
2.631,-0.280
2.633,-0.285
2.636,-0.280
2.639,-0.280
2.642,-0.290
2.644,-0.300
2.647,-0.305
2.650,-0.305
2.653,-0.300
2.656,-0.305
2.658,-0.315
2.661,-0.300
2.664,-0.305
2.667,-0.295
2.669,-0.285
2.672,-0.295
2.675,-0.300
2.678,-0.315
2.681,-0.320
2.683,-0.315
2.686,-0.325
2.689,-0.315
2.692,-0.310
2.694,-0.315
2.697,-0.300
2.700,-0.300
2.703,-0.300
2.706,-0.305
2.708,-0.305
2.711,-0.325
2.714,-0.320
2.717,-0.330
2.719,-0.330
2.722,-0.330
2.725,-0.325
2.728,-0.320
2.731,-0.300
2.733,-0.300
2.736,-0.290
2.739,-0.305
2.742,-0.290
2.744,-0.305
2.747,-0.300
2.750,-0.305
2.753,-0.315
2.756,-0.305
2.758,-0.290
2.761,-0.280
2.764,-0.285
2.767,-0.265
2.769,-0.260
2.772,-0.270
2.775,-0.275
2.778,-0.285
2.781,-0.295
2.783,-0.295
2.786,-0.290
2.789,-0.295
2.792,-0.275
2.794,-0.270
2.797,-0.265
2.800,-0.270
2.803,-0.270
2.806,-0.270
2.808,-0.285
2.811,-0.285
2.814,-0.300
2.817,-0.305
2.819,-0.310
2.822,-0.290
2.825,-0.285
2.828,-0.280
2.831,-0.270
2.833,-0.265
2.836,-0.270
2.839,-0.275
2.842,-0.285
2.844,-0.285
2.847,-0.290
2.850,-0.305
2.853,-0.290
2.856,-0.290
2.858,-0.285
2.861,-0.280
2.864,-0.285
2.867,-0.265
2.869,-0.280
2.872,-0.290
2.875,-0.285
2.878,-0.290
2.881,-0.310
2.883,-0.310
2.886,-0.310
2.889,-0.300
2.892,-0.295
2.894,-0.300
2.897,-0.290
2.900,-0.285
2.903,-0.285
2.906,-0.290
2.908,-0.305
2.911,-0.315
2.914,-0.305
2.917,-0.320
2.919,-0.325
2.922,-0.305
2.925,-0.310
2.928,-0.295
2.931,-0.295
2.933,-0.280
2.936,-0.295
2.939,-0.310
2.942,-0.310
2.944,-0.315
2.947,-0.330
2.950,-0.330
2.953,-0.315
2.956,-0.315
2.958,-0.305
2.961,-0.300
2.964,-0.300
2.967,-0.285
2.969,-0.300
2.972,-0.305
2.975,-0.315
2.978,-0.320
2.981,-0.325
2.983,-0.315
2.986,-0.330
2.989,-0.315
2.992,-0.325
2.994,-0.325
2.997,-0.305
3.000,-0.290
3.003,-0.300
3.006,-0.310
3.008,-0.315
3.011,-0.320
3.014,-0.330
3.017,-0.335
3.019,-0.325
3.022,-0.330
3.025,-0.310
3.028,-0.315
3.031,-0.305
3.033,-0.290
3.036,-0.310
3.039,-0.305
3.042,-0.315
3.044,-0.325
3.047,-0.340
3.050,-0.330
3.053,-0.330
3.056,-0.325
3.058,-0.315
3.061,-0.315
3.064,-0.300
3.067,-0.305
3.069,-0.315
3.072,-0.320
3.075,-0.320
3.078,-0.330
3.081,-0.330
3.083,-0.335
3.086,-0.330
3.089,-0.335
3.092,-0.335
3.094,-0.315
3.097,-0.315
3.100,-0.300
3.103,-0.320
3.106,-0.315
3.108,-0.320
3.111,-0.325
3.114,-0.330
3.117,-0.335
3.119,-0.320
3.122,-0.305
3.125,-0.285
3.128,-0.280
3.131,-0.275
3.133,-0.255
3.136,-0.255
3.139,-0.255
3.142,-0.265
3.144,-0.265
3.147,-0.280
3.150,-0.300
3.153,-0.300
3.156,-0.295
3.158,-0.305
3.161,-0.295
3.164,-0.310
3.167,-0.310
3.169,-0.310
3.172,-0.310
3.175,-0.315
3.178,-0.315
3.181,-0.320
3.183,-0.335
3.186,-0.325
3.189,-0.315
3.192,-0.310
3.194,-0.310
3.197,-0.290
3.200,-0.295
3.203,-0.300
3.206,-0.305
3.208,-0.315
3.211,-0.330
3.214,-0.340
3.217,-0.350
3.219,-0.345
3.222,-0.340
3.225,-0.325
3.228,-0.335
3.231,-0.325
3.233,-0.320
3.236,-0.330
3.239,-0.325
3.242,-0.345
3.244,-0.350
3.247,-0.345
3.250,-0.360
3.253,-0.355
3.256,-0.350
3.258,-0.340
3.261,-0.330
3.264,-0.325
3.267,-0.320
3.269,-0.325
3.272,-0.340
3.275,-0.340
3.278,-0.340
3.281,-0.340
3.283,-0.350
3.286,-0.350
3.289,-0.345
3.292,-0.330
3.294,-0.330
3.297,-0.315
3.300,-0.310
3.303,-0.315
3.306,-0.320
3.308,-0.330
3.311,-0.340
3.314,-0.340
3.317,-0.320
3.319,-0.315
3.322,-0.300
3.325,-0.275
3.328,-0.270
3.331,-0.265
3.333,-0.290
3.336,-0.365
3.339,-0.420
3.342,-0.510
3.344,-0.610
3.347,-0.710
3.350,-0.770
3.353,-0.815
3.356,-0.810
3.358,-0.765
3.361,-0.705
3.364,-0.615
3.367,-0.530
3.369,-0.460
3.372,-0.415
3.375,-0.375
3.378,-0.380
3.381,-0.380
3.383,-0.400
3.386,-0.415
3.389,-0.425
3.392,-0.415
3.394,-0.385
3.397,-0.350
3.400,-0.305
3.403,-0.275
3.406,-0.255
3.408,-0.245
3.411,-0.265
3.414,-0.280
3.417,-0.285
3.419,-0.285
3.422,-0.280
3.425,-0.265
3.428,-0.255
3.431,-0.255
3.433,-0.260
3.436,-0.260
3.439,-0.255
3.442,-0.265
3.444,-0.270
3.447,-0.290
3.450,-0.280
3.453,-0.275
3.456,-0.265
3.458,-0.270
3.461,-0.265
3.464,-0.260
3.467,-0.250
3.469,-0.260
3.472,-0.265
3.475,-0.280
3.478,-0.280
3.481,-0.285
3.483,-0.280
3.486,-0.295
3.489,-0.280
3.492,-0.280
3.494,-0.250
3.497,-0.255
3.500,-0.245
3.503,-0.265
3.506,-0.270
3.508,-0.275
3.511,-0.280
3.514,-0.285
3.517,-0.300
3.519,-0.290
3.522,-0.280
3.525,-0.270
3.528,-0.270
3.531,-0.265
3.533,-0.255
3.536,-0.260
3.539,-0.265
3.542,-0.280
3.544,-0.275
3.547,-0.295
3.550,-0.290
3.553,-0.285
3.556,-0.285
3.558,-0.295
3.561,-0.280
3.564,-0.270
3.567,-0.260
3.569,-0.265
3.572,-0.285
3.575,-0.275
3.578,-0.290
3.581,-0.295
3.583,-0.305
3.586,-0.300
3.589,-0.285
3.592,-0.275
3.594,-0.270
3.597,-0.270
3.600,-0.265
3.603,-0.275
3.606,-0.280
3.608,-0.290
3.611,-0.295
3.614,-0.295
3.617,-0.305
3.619,-0.305
3.622,-0.305
3.625,-0.280
3.628,-0.280
3.631,-0.260
3.633,-0.270
3.636,-0.270
3.639,-0.270
3.642,-0.280
3.644,-0.285
3.647,-0.305
3.650,-0.300
3.653,-0.300
3.656,-0.295
3.658,-0.285
3.661,-0.275
3.664,-0.275
3.667,-0.270
3.669,-0.270
3.672,-0.270
3.675,-0.290
3.678,-0.300
3.681,-0.300
3.683,-0.305
3.686,-0.305
3.689,-0.295
3.692,-0.285
3.694,-0.300
3.697,-0.285
3.700,-0.280
3.703,-0.280
3.706,-0.300
3.708,-0.295
3.711,-0.300
3.714,-0.315
3.717,-0.325
3.719,-0.320
3.722,-0.310
3.725,-0.315
3.728,-0.295
3.731,-0.285
3.733,-0.275
3.736,-0.295
3.739,-0.290
3.742,-0.295
3.744,-0.300
3.747,-0.315
3.750,-0.305
3.753,-0.300
3.756,-0.285
3.758,-0.290
3.761,-0.280
3.764,-0.275
3.767,-0.255
3.769,-0.265
3.772,-0.260
3.775,-0.265
3.778,-0.275
3.781,-0.285
3.783,-0.285
3.786,-0.280
3.789,-0.270
3.792,-0.270
3.794,-0.255
3.797,-0.260
3.800,-0.245
3.803,-0.250
3.806,-0.265
3.808,-0.275
3.811,-0.265
3.814,-0.265
3.817,-0.270
3.819,-0.270
3.822,-0.265
3.825,-0.255
3.828,-0.260
3.831,-0.250
3.833,-0.245
3.836,-0.255
3.839,-0.250
3.842,-0.265
3.844,-0.265
3.847,-0.265
3.850,-0.260
3.853,-0.275
3.856,-0.270
3.858,-0.255
3.861,-0.255
3.864,-0.245
3.867,-0.255
3.869,-0.245
3.872,-0.250
3.875,-0.260
3.878,-0.265
3.881,-0.275
3.883,-0.275
3.886,-0.280
3.889,-0.260
3.892,-0.260
3.894,-0.265
3.897,-0.245
3.900,-0.245
3.903,-0.250
3.906,-0.260
3.908,-0.270
3.911,-0.275
3.914,-0.280
3.917,-0.280
3.919,-0.285
3.922,-0.285
3.925,-0.275
3.928,-0.265
3.931,-0.265
3.933,-0.260
3.936,-0.265
3.939,-0.270
3.942,-0.270
3.944,-0.280
3.947,-0.285
3.950,-0.295
3.953,-0.295
3.956,-0.280
3.958,-0.285
3.961,-0.285
3.964,-0.280
3.967,-0.270
3.969,-0.270
3.972,-0.285
3.975,-0.280
3.978,-0.285
3.981,-0.290
3.983,-0.290
3.986,-0.300
3.989,-0.290
3.992,-0.280
3.994,-0.280
3.997,-0.270
4.000,-0.260
4.003,-0.265
4.006,-0.285
4.008,-0.280
4.011,-0.285
4.014,-0.300
4.017,-0.300
4.019,-0.300
4.022,-0.295
4.025,-0.290
4.028,-0.285
4.031,-0.280
4.033,-0.270
4.036,-0.280
4.039,-0.295
4.042,-0.295
4.044,-0.290
4.047,-0.300
4.050,-0.305
4.053,-0.305
4.056,-0.295
4.058,-0.300
4.061,-0.290
4.064,-0.275
4.067,-0.265
4.069,-0.275
4.072,-0.285
4.075,-0.295
4.078,-0.290
4.081,-0.300
4.083,-0.300
4.086,-0.295
4.089,-0.305
4.092,-0.290
4.094,-0.275
4.097,-0.280
4.100,-0.270
4.103,-0.270
4.106,-0.270
4.108,-0.285
4.111,-0.290
4.114,-0.295
4.117,-0.295
4.119,-0.300
4.122,-0.295
4.125,-0.290
4.128,-0.280
4.131,-0.280
4.133,-0.270
4.136,-0.275
4.139,-0.270
4.142,-0.290
4.144,-0.305
4.147,-0.290
4.150,-0.305
4.153,-0.305
4.156,-0.305
4.158,-0.295
4.161,-0.285
4.164,-0.290
4.167,-0.270
4.169,-0.285
4.172,-0.285
4.175,-0.290
4.178,-0.290
4.181,-0.295
4.183,-0.305
4.186,-0.305
4.189,-0.280
4.192,-0.285
4.194,-0.275
4.197,-0.275
4.200,-0.265
4.203,-0.275
4.206,-0.285
4.208,-0.290
4.211,-0.295
4.214,-0.290
4.217,-0.300
4.219,-0.305
4.222,-0.290
4.225,-0.285
4.228,-0.275
4.231,-0.265
4.233,-0.260
4.236,-0.270
4.239,-0.270
4.242,-0.280
4.244,-0.285
4.247,-0.290
4.250,-0.290
4.253,-0.285
4.256,-0.295
4.258,-0.275
4.261,-0.265
4.264,-0.265
4.267,-0.255
4.269,-0.265
4.272,-0.270
4.275,-0.265
4.278,-0.275
4.281,-0.280
4.283,-0.295
4.286,-0.280
4.289,-0.265
4.292,-0.255
4.294,-0.245
4.297,-0.235
4.300,-0.220
4.303,-0.215
4.306,-0.205
